STOCKJOIN,SERIESNAME,Group,Year,Value,Stdev,Scale
none,bts_bootstrap,Sablefish,1990,0.780528022,0.149898081,1
none,bts_bootstrap,Sablefish,1993,1.015535239,0.166989229,1
none,bts_bootstrap,Sablefish,1996,0.612611464,0.078357989,1
none,bts_bootstrap,Sablefish,1999,0.537529562,0.052671728,1
none,bts_bootstrap,Sablefish,2001,0.998165559,0.210686889,1
none,bts_bootstrap,Sablefish,2003,0.910222671,0.119074201,1
none,bts_bootstrap,Sablefish,2005,0.87393596,0.093269653,1
none,bts_bootstrap,Sablefish,2007,0.603918016,0.06202073,1
none,bts_bootstrap,Sablefish,2009,0.597921371,0.06897508,1
none,bts_bootstrap,Sablefish,2011,0.519864584,0.09390298,1
none,bts_bootstrap,Sablefish,2013,0.273342116,0.047235412,1
none,bts_bootstrap,Sablefish,2015,0.381620931,0.044741873,1
none,bts_bootstrap,Salmon,1984,0.022041144,0.007110126,1
none,bts_bootstrap,Salmon,1987,0.034022439,0.005099746,1
none,bts_bootstrap,Salmon,1990,0.008283837,0.001788905,1
none,bts_bootstrap,Salmon,1993,0.026351267,0.003687968,1
none,bts_bootstrap,Salmon,1996,0.020696809,0.004979718,1
none,bts_bootstrap,Salmon,1999,0.010412999,0.002909225,1
none,bts_bootstrap,Salmon,2001,0.029098323,0.005274408,1
none,bts_bootstrap,Salmon,2003,0.080773698,0.012583656,1
none,bts_bootstrap,Salmon,2005,0.045073785,0.008308987,1
none,bts_bootstrap,Salmon,2007,0.017650825,0.003946748,1
none,bts_bootstrap,Salmon,2009,0.027090409,0.005305682,1
none,bts_bootstrap,Salmon,2011,0.022459169,0.004213951,1
none,bts_bootstrap,Salmon,2013,0.059743888,0.015045377,1
none,bts_bootstrap,Salmon,2015,0.070906554,0.010235088,1
none,bts_bootstrap,Sharks,1984,NA,NA,1
none,bts_bootstrap,Sharks,1987,0.047967229,0.03025234,1
none,bts_bootstrap,Sharks,1990,0.045820652,0.019388764,1
none,bts_bootstrap,Sharks,1993,0.045572271,0.020091258,1
none,bts_bootstrap,Sharks,1996,0.026229404,0.016582061,1
none,bts_bootstrap,Sharks,1999,0.012840851,0.01049189,1
none,bts_bootstrap,Sharks,2001,0.1129198,0.053323643,1
none,bts_bootstrap,Sharks,2003,0.207389393,0.060524581,1
none,bts_bootstrap,Sharks,2005,0.146547757,0.048616998,1
none,bts_bootstrap,Sharks,2007,0.094913935,0.039531761,1
none,bts_bootstrap,Sharks,2009,0.105957231,0.075957878,1
none,bts_bootstrap,Sharks,2011,NA,NA,1
none,bts_bootstrap,Sharks,2013,0.153731083,0.104193002,1
none,bts_bootstrap,Sharks,2015,NA,NA,1
none,bts_bootstrap,Shelf.forage,1984,0.028315572,0.004336728,1
none,bts_bootstrap,Shelf.forage,1987,0.05866706,0.010464243,1
none,bts_bootstrap,Shelf.forage,1990,0.109253939,0.01759687,1
none,bts_bootstrap,Shelf.forage,1993,0.111323648,0.016507394,1
none,bts_bootstrap,Shelf.forage,1996,0.104622719,0.015664163,1
none,bts_bootstrap,Shelf.forage,1999,0.055585558,0.00725483,1
none,bts_bootstrap,Shelf.forage,2001,0.19262107,0.038678167,1
none,bts_bootstrap,Shelf.forage,2003,0.336254702,0.059017206,1
none,bts_bootstrap,Shelf.forage,2005,0.188332055,0.035232201,1
none,bts_bootstrap,Shelf.forage,2007,0.184036615,0.030485579,1
none,bts_bootstrap,Shelf.forage,2009,0.244583305,0.054268279,1
none,bts_bootstrap,Shelf.forage,2011,0.210326979,0.043945391,1
none,bts_bootstrap,Shelf.forage,2013,0.12630981,0.020080712,1
none,bts_bootstrap,Shelf.forage,2015,0.341400646,0.063878608,1
none,bts_bootstrap,Skates,1984,0.119231486,0.019751865,1
none,bts_bootstrap,Skates,1987,0.121551231,0.015079493,1
none,bts_bootstrap,Skates,1990,0.143978798,0.019541407,1
none,bts_bootstrap,Skates,1993,0.218080005,0.030244172,1
none,bts_bootstrap,Skates,1996,0.269979153,0.026717874,1
none,bts_bootstrap,Skates,1999,0.371812591,0.034289729,1
none,bts_bootstrap,Skates,2001,0.317225915,0.038671081,1
none,bts_bootstrap,Skates,2003,0.371365836,0.028532827,1
none,bts_bootstrap,Skates,2005,0.36679064,0.026057063,1
none,bts_bootstrap,Skates,2007,0.327698586,0.030740343,1
none,bts_bootstrap,Skates,2009,0.332611401,0.028268439,1
none,bts_bootstrap,Skates,2011,0.386836847,0.07171484,1
none,bts_bootstrap,Skates,2013,0.365143193,0.039086215,1
none,bts_bootstrap,Skates,2015,0.409305439,0.03554862,1
none,bts_bootstrap,Sm.Flatfish,1984,1.980951986,0.142101513,1
none,bts_bootstrap,Sm.Flatfish,1987,1.806447039,0.149786831,1
none,bts_bootstrap,Sm.Flatfish,1990,2.410951896,0.182371281,1
none,bts_bootstrap,Sm.Flatfish,1993,2.436992198,0.17047,1
none,bts_bootstrap,Sm.Flatfish,1996,2.375870376,0.129959999,1
none,bts_bootstrap,Sm.Flatfish,1999,2.158968151,0.178789972,1
none,bts_bootstrap,Sm.Flatfish,2001,2.645188089,0.25797075,1
none,bts_bootstrap,Sm.Flatfish,2003,3.007456601,0.18645724,1
none,bts_bootstrap,Sm.Flatfish,2005,2.775674427,0.15998474,1
none,bts_bootstrap,Sm.Flatfish,2007,3.193046441,0.191506913,1
none,bts_bootstrap,Sm.Flatfish,2009,2.891840855,0.178900429,1
none,bts_bootstrap,Sm.Flatfish,2011,2.607770531,0.167195309,1
none,bts_bootstrap,Sm.Flatfish,2013,2.400092548,0.170076981,1
none,bts_bootstrap,Sm.Flatfish,2015,2.109235182,0.105255153,1
none,bts_bootstrap,Squids,1984,0.01098382,0.001964028,1
none,bts_bootstrap,Squids,1987,0.019262547,0.007519762,1
none,bts_bootstrap,Squids,1990,0.014621027,0.003276206,1
none,bts_bootstrap,Squids,1993,0.040143698,0.009123992,1
none,bts_bootstrap,Squids,1996,0.021021397,0.003295438,1
none,bts_bootstrap,Squids,1999,0.007461594,0.001232765,1
none,bts_bootstrap,Squids,2001,0.040833061,0.015638047,1
none,bts_bootstrap,Squids,2003,0.018233879,0.003745269,1
